"Новый: Время (с)";"Новый: Угол (rad)";"Новый: Скорость (rad/с)";"Новый: Ускорение (rad/с²)"
8.3;-136.153134948;-31.3674451706;-0.193925477779
8.35;-137.723931275;-31.3577488967;0.813409642902
8.4;-139.294727602;-31.2510898839;1.16355286667
8.45;-140.848070636;-31.1638234189;0.183151840124
8.5;-142.40141367;-31.24139361;-0.646418259259
8.55;-143.972209997;-31.3189638011;0.0430945503075
8.6;-145.543006324;-31.24139361;0.872664647839
8.65;-147.096349358;-31.154127145;0.474040046297
8.7;-148.649692392;-31.202608515;0.129283624692
8.75;-150.220488719;-31.1929122428;0.527908198456
8.8;-151.773831753;-31.1153420567;0.382464108332
8.85;-153.327174788;-31.1153420567;-0.333982741358
8.9;-154.880517822;-31.1929122428;-0.312435455863
8.95;-156.451314149;-31.1929122417;0.490200513274
9;-158.004657183;-31.1056457778;0.641031404013
9.05;-159.558000217;-31.086253235;0.0323208851838
9.1;-161.111343252;-31.1056457828;-0.484813674691
9.15;-162.664686286;-31.1832159694;-0.161604537037
9.2;-164.235482613;-31.1638234211;0.834956915433
9.25;-165.788825647;-31.0183793161;0.490200514815
9.3;-167.324715389;-31.0765569561;-0.506360960186
9.35;-168.895511715;-31.1541271472;-0.14005730926
9.4;-170.44885475;-31.0959495078;0.382464117902
9.45;-172.002197784;-31.0765569578;0.333982748458
9.5;-173.555540818;-31.0668606878;0.328595928704
9.55;-175.108883853;-31.0571644139;0.506360979011
9.6;-176.662226887;-31.0280755889;0.818796461419
9.65;-178.215569921;-30.9408091272;0.495587320679
9.7;-179.751459663;-30.9408091272;-0.452492772221
9.75;-181.304802697;-31.0280755889;-0.63025781111
9.8;-182.858145731;-31.0474681406;-2.80875569716E-008
9.85;-184.411488766;-31.0280755939;0.635644611419
9.9;-185.9648318;-30.9408091289;0.490200523149
9.95;-187.500721542;-30.9408091278;-0.312435465739
10;-189.054064576;-31.018379315;-0.333982767593
10.05;-190.60740761;-31.0183793189;0.377077289813
10.1;-192.160750645;-30.9408091289;0.490200495062
10.15;-193.696640386;-30.9311128556;-0.0484813762334
10.2;-195.249983421;-30.9892904989;0.0323209197539
10.25;-196.803326455;-30.931112855;0.204699133641
10.3;-198.339216197;-30.9311128539;-0.161604536729
10.35;-199.892559231;-30.9892904933;0.145444108334
10.4;-201.445902265;-30.92141658;0.490200485186
10.45;-202.981792007;-30.9020240333;0.183151821605
10.5;-204.535135041;-30.9020240339;-0.140057298149
10.55;-206.071024783;-30.9214165817;-0.307048675
10.6;-207.624367817;-30.979594225;0.328595948148
10.65;-209.177710852;-30.89232776;0.980401026543
10.7;-210.713600593;-30.805061295;0.328595948148
10.75;-212.249490335;-30.8632389383;-0.307048675001
10.8;-213.802833369;-30.8826314861;-0.140057298149
10.85;-215.338723111;-30.8826314867;0.183151821297
10.9;-216.892066145;-30.86323894;0.490200483334
10.95;-218.427955887;-30.7953650267;0.145444099692
11;-219.963845629;-30.8535426667;-0.161604555248
11.05;-221.517188663;-30.8535426667;0.204699105864
11.1;-223.053078405;-30.7953650267;0.0323209216056
11.15;-224.588968147;-30.8535426661;-0.0484813395052
11.2;-226.142311181;-30.8438463911;0.490200531791
11.25;-227.678200923;-30.7662761994;0.377077324382
11.3;-229.214090664;-30.7662761994;-0.333982775928
11.35;-230.749980406;-30.8438463911;-0.312435518828
11.4;-232.30332344;-30.8438463928;0.490200466668
11.45;-233.839213182;-30.7565799328;0.64103141204
11.5;-235.375102924;-30.737187385;0.0323209388894
11.55;-236.910992666;-30.7565799278;-0.484813658335
11.6;-238.446882407;-30.8341501178;-0.161604565124
11.65;-240.000225442;-30.8147575711;0.834956880247
11.7;-241.536115183;-30.6693134678;0.490200478704
11.75;-243.054551633;-30.7274911117;-0.506360960186
11.8;-244.607894667;-30.8050612989;-0.140057273149
11.85;-246.143784409;-30.7468836578;0.382464153087
11.9;-247.679674151;-30.7274911061;0.333982776544
11.95;-249.215563892;-30.7177948328;0.323209093212
12;-250.751453634;-30.7080985639;0.474040010494
12.05;-252.287343376;-30.6790097439;0.673352336418
12.1;-253.823233118;-30.6014395528;0.19931231327
12.15;-255.341669567;-30.6208320989;-0.82957005463
12.2;-256.877559309;-30.7662762022;-0.484813664813
12.25;-258.430902343;-30.7080985589;0.5440686821
12.3;-259.949338792;-30.6305283722;0.323209101851
12.35;-261.485228534;-30.6790097422;0.0969627416647
12.4;-263.021118276;-30.669313465;0.522521424381
12.45;-264.557008017;-30.5917432772;0.382464125
12.5;-266.075444467;-30.5917432772;-0.333982758024
12.55;-267.611334208;-30.669313465;-0.307048681789
12.6;-269.14722395;-30.6693134689;0.522521396298
12.65;-270.683113692;-30.582047005;0.786475529939
12.7;-272.201550141;-30.5529581839;0.323209120987
12.75;-273.737439883;-30.5529581839;-0.145444109878
12.8;-275.255876332;-30.5723507317;-0.484813692902
12.85;-276.791766074;-30.6402246489;-0.14544409969
12.9;-278.327655816;-30.582047005;0.166991402162
12.95;-279.846092265;-30.5820470039;-0.166991355556
13;-281.381982007;-30.6402246433;0.150830927467
13.05;-282.917871748;-30.57235073;0.527908218516
13.1;-284.436308198;-30.5529581833;0.360916849692
13.15;-285.972197939;-30.5432619094;0.301661855557
13.2;-287.490634389;-30.533565635;0.355530050309
13.25;-289.02652413;-30.5141730844;0.495587303703
13.3;-290.544960579;-30.446299175;0.00538679043114
13.35;-292.063397029;-30.5141730894;-0.457879592594
13.4;-293.59928677;-30.5335656367;-0.172378201235
13.45;-295.11772322;-30.5335656367;0.172378190743
13.5;-296.653612961;-30.51417309;0.457879573766
13.55;-298.172049411;-30.4462991767;3.07074859367E-010
13.6;-299.69048586;-30.51417309;-0.457879572222
13.65;-301.226375602;-30.5335656367;-0.172378183949
13.7;-302.744812051;-30.5335656361;0.177765029939
13.75;-304.280701793;-30.5141730883;0.495587333641
13.8;-305.799138242;-30.4462991711;0.183151838271
13.85;-307.317574691;-30.5044768144;0.0215472648154
13.9;-308.853464433;-30.4947805411;0.678739145061
13.95;-310.371900882;-30.4075140778;0.851117327778
14;-311.890337331;-30.3784252611;0.474040026851
14.05;-313.408773781;-30.3687289872;0.145444127776
14.1;-314.92721023;-30.3687289828;-0.145444080556
14.15;-316.445646679;-30.3784252561;-0.46865324074
14.2;-317.964083128;-30.4075140811;-0.813409641047
14.25;-319.482519578;-30.4947805428;-0.490200501543
14.3;-321.018409319;-30.4947805428;0.490200503702
14.35;-322.536845769;-30.4075140811;0.813409649383
14.4;-324.055282218;-30.3784252556;0.474040076235
14.45;-325.573718667;-30.3687289811;0.18315183179
14.5;-327.092155116;-30.3687289822;0.0430945123455
14.55;-328.610591565;-30.3687289872;0.0430945222216
14.6;-330.129028015;-30.3687289872;0.183151857717
14.65;-331.647464464;-30.3590327089;0.474040074074
14.7;-333.165900913;-30.3299438872;0.813409612962
14.75;-334.684337362;-30.2426774272;0.495587287037
14.8;-336.185320519;-30.2426774289;-0.457879618827
14.85;-337.703756968;-30.3299438939;-0.667965526234
14.9;-339.222193418;-30.3493364406;-0.177764993516
14.95;-340.740629867;-30.3396401628;0.193925486113
15;-342.259066316;-30.2814625228;-0.172378211731
15.05;-343.760049473;-30.3590327139;-0.474040045374
15.1;-345.295939215;-30.4172103539;0.673352353393
15.15;-346.814375664;-30.262069975;1.30899696358
15.2;-348.315358821;-30.2135886056;0.651805087349
15.25;-349.83379527;-30.2038923283;0.00538681049448
15.3;-351.334778426;-30.22328488;-0.457879628088
15.35;-352.853214876;-30.2911587983;-0.172378210804
15.4;-354.371651325;-30.232981155;0.0215472935199
15.45;-355.872634482;-30.2426774272;-0.457879557404
15.5;-357.391070931;-30.3202476133;-0.193925458334
15.55;-358.90950738;-30.31055134;0.813409598145
15.6;-360.427943829;-30.2038923333;1.16355280031
15.65;-361.928926986;-30.1166258733;0.183151829631
15.7;-363.429910143;-30.19419606;-0.65180504074
15.75;-364.948346592;-30.2717662467;0.00538681851791
15.8;-366.466783041;-30.19419606;0.689512770368
15.85;-367.967766198;-30.1166258733;-1.0164708581E-012
15.9;-369.468749355;-30.19419606;-0.684125951852
15.95;-370.987185804;-30.2717662467;0.0377077299386
16;-372.505622253;-30.19419606;0.867277783642
16.05;-374.00660541;-30.1069296;0.441719129011
16.1;-375.507588567;-30.1554109661;-0.0215472469138
16.15;-377.026025016;-30.1554109644;0.199312331794
16.2;-378.527008173;-30.0972333194;-0.140057253392
16.25;-380.027991329;-30.1651072328;-0.484813694755
16.3;-381.546427778;-30.1844997844;-0.145444146609
16.35;-383.047410935;-30.1844997861;0.323209083949
16.4;-384.565847384;-30.1554109667;0.786475493521
16.45;-386.066830541;-30.0681445067;0.5225213963
16.5;-387.567813698;-30.0681445067;-0.301661826851
16.55;-389.068796855;-30.1457146928;-0.301661809571
16.6;-390.587233304;-30.1457146911;0.527908263577
16.65;-392.088216461;-30.0584482261;0.818796453398
16.7;-393.589199617;-30.0293594056;0.468653210191
16.75;-395.090182774;-30.0196631356;0.145444100001
16.8;-396.591165931;-30.0196631322;-0.140057280252
16.85;-398.092149087;-30.0293594061;-0.430945517905
16.9;-399.593132244;-30.0584482311;-0.635644623453
16.95;-401.094115401;-30.1360184189;-0.0538681854889
17;-402.61255185;-30.1069295978;1.12584510679
17.05;-404.113535007;-29.9420929461;0.867277809564
17.1;-405.597064871;-29.9420929461;-0.646418239818
17.15;-407.098048028;-30.0972333239;-0.646418239504
17.2;-408.616484477;-30.0972333239;0.867277811422
17.25;-410.117467634;-29.9323966722;1.12584511543
17.3;-411.600997498;-29.9033078506;-0.0538681666691
17.35;-413.101980655;-29.9808780372;-0.635644593522
17.4;-414.602963811;-30.0099668583;-0.430945509257
17.45;-416.103946968;-30.0196631356;-0.140057289811
17.5;-417.604930125;-30.0196631322;0.14544410957
17.55;-419.105913281;-30.0099668589;0.468653201542
17.6;-420.606896438;-29.9808780422;0.818796423454
17.65;-422.107879595;-29.8936115783;0.533295063272
17.7;-423.591409459;-29.8936115772;-0.269340907097
17.75;-425.092392616;-29.9711817633;-0.156217728396
17.8;-426.593375772;-29.96148549;0.818796416664
17.85;-428.094358929;-29.8548264833;1.16355280062
17.9;-429.577888793;-29.7675600233;0.183151831485
17.95;-431.061418658;-29.84513021;-0.646418213578
18;-432.562401814;-29.9227003961;0.037707748148
18.05;-434.063384971;-29.8451302083;0.834956898454
18.1;-435.546914835;-29.7578637444;0.296275018825
18.15;-437.030444699;-29.8160413883;-0.312435500306
18.2;-438.531427856;-29.8354339361;-0.140057291354
18.25;-440.01495772;-29.8354339361;0.183151839506
18.3;-441.515940877;-29.8160413883;0.495587329934
18.35;-442.999470741;-29.7481674711;0.183151829626
18.4;-444.483000605;-29.806345115;0.0161604293214
18.45;-445.983983762;-29.7966488428;0.646418212658
18.5;-447.467513626;-29.7093823828;0.705673238274
18.55;-448.951043491;-29.689989835;0.188538686727
18.6;-450.434573355;-29.6996861039;-0.161604520065
18.65;-451.918103219;-29.7578637456;0.323209148149
18.7;-453.419086376;-29.6705972806;0.808022815744
18.75;-454.885162947;-29.5930270906;-0.113123223146
18.8;-456.368692811;-29.6802935594;-0.969627397533
18.85;-457.852222676;-29.777256295;-0.307048665744
18.9;-459.353205832;-29.7578637472;1.15816602778
18.95;-460.836735697;-29.5833308211;1.2712892247
19;-462.302812268;-29.5542419972;-0.0215472919736
19.05;-463.786342132;-29.6318121922;-0.630257812348
19.1;-465.269871997;-29.6609010133;-0.430945471608
19.15;-466.753401861;-29.6705972822;-0.140057251543
19.2;-468.236931725;-29.6705972811;0.150830927162
19.25;-469.720461589;-29.6609010083;0.506360931482
19.3;-471.203991453;-29.6318121917;0.996561446294
19.35;-472.687521318;-29.5348494533;0.969627387961
19.4;-474.153597889;-29.5057606283;0.36091685093
19.45;-475.637127753;-29.5057606322;-0.140057317897
19.5;-477.103204325;-29.5251531811;-0.484813704631
19.55;-478.586734189;-29.5930270983;-0.145444098152
19.6;-480.070264054;-29.5348494539;0.166991411726
19.65;-481.536340625;-29.53484945;-0.166991375307
19.7;-483.019870489;-29.5930270967;0.14544409877
19.75;-484.503400354;-29.5251531794;0.49020052284
19.8;-485.969476925;-29.5057606283;0.183151831477
19.85;-487.453006789;-29.5057606322;-0.140057319447
19.9;-488.919083361;-29.5251531811;-0.307048691973
19.95;-490.402613225;-29.583330825;0.328595939817
20;-491.88614309;-29.49606436;0.980401024691
20.05;-493.352219661;-29.408797895;0.328595948144
20.1;-494.818296233;-29.4669755383;-0.307048673151
20.15;-496.301826097;-29.4863680861;-0.140057289503
20.2;-497.767902669;-29.4863680861;0.183151840129
20.25;-499.251432533;-29.4669755383;0.490200513272
20.3;-500.717509105;-29.3991016211;0.145444108328
20.35;-502.183585676;-29.4572792644;-0.161604564819
20.4;-503.667115541;-29.4572792644;0.204699115435
20.45;-505.133192112;-29.3991016211;0.0323209129667
20.5;-506.599268684;-29.4572792644;-0.0484813694445
20.55;-508.082798548;-29.4475829906;0.49020051296
20.6;-509.54887512;-29.3700127994;0.377077316047
20.65;-511.014951691;-29.3700127994;-0.333982775924
20.7;-512.481028263;-29.4475829911;-0.31243551049
20.75;-513.964558127;-29.4475829922;0.490200485188
20.8;-515.430634699;-29.3603165311;0.635644621295
20.85;-516.896711271;-29.3409239794;2.62289528368E-008
20.9;-518.362787842;-29.3603165261;-0.630257792902
20.95;-519.828864414;-29.4475829911;-0.452492791661
21;-521.312394278;-29.4475829922;0.495587304015
21.05;-522.77847085;-29.3603165311;0.813409634562
21.1;-524.244547422;-29.3312277061;0.474040066043
21.15;-525.710623993;-29.3215314322;0.183151828707
21.2;-527.176700565;-29.3215314356;0.037707731798
21.25;-528.642777137;-29.3215314322;0.00538682994135
21.3;-530.108853708;-29.3215314322;0.00538680740176
21.35;-531.57493028;-29.3215314356;0.0323209111062
21.4;-533.041006852;-29.3215314322;0.145444111116
21.45;-534.507083423;-29.3118351589;0.296275007414
21.5;-535.973159995;-29.2924426156;0.377077296602
21.55;-537.439236567;-29.2342649722;-0.140057268219
21.6;-538.887859846;-29.3118351589;-0.506360941672
21.65;-540.37138971;-29.3700128017;0.495587329017
21.7;-541.837466282;-29.2245686967;0.867277830874
21.75;-543.286089561;-29.2051761456;-0.0107736367252
21.8;-544.752166132;-29.2730500633;-0.156217784266
21.85;-546.218242704;-29.2730500683;0.554842292586
21.9;-547.684319276;-29.185783605;0.791862350618
21.95;-549.132942555;-29.1566947833;0.3232091463
22;-550.599019127;-29.1566947817;-0.145444063887
22.05;-552.047642406;-29.1760873244;-0.490200485184
22.1;-553.513718977;-29.2439612417;-0.177765047222
22.15;-554.979795549;-29.1857836033;0.0215472388888
22.2;-556.428418828;-29.1954798783;-0.457879602162
22.25;-557.8944954;-29.2730500683;-0.193925450003
22.3;-559.360571972;-29.26335379;0.813409652157
22.35;-560.826648543;-29.1566947783;1.16355281883
22.4;-562.275271822;-29.0694283217;0.183151812045
22.45;-563.723895102;-29.1469985094;-0.651805049068
22.5;-565.189971673;-29.2245686961;0.00538682684859
22.55;-566.656048245;-29.1469985083;0.689512788263
22.6;-568.104671524;-29.0694283183;0.00538680184622
22.65;-569.553294803;-29.14699851;-0.651805086419
22.7;-571.019371375;-29.2245687011;0.183151838275
22.75;-572.485447947;-29.1373022361;1.15816604753
22.8;-573.934071226;-29.0306432233;0.781088729936
22.85;-575.382694505;-29.0209469494;-0.339369586113
22.9;-576.831317784;-29.1082134144;-0.74876781697
22.95;-578.297394356;-29.1373022361;-0.317822310794
23;-579.746017635;-29.1373022361;0.145444108337
23.05;-581.212094207;-29.1179096883;0.490200513265
23.1;-582.660717486;-29.0500357711;0.177765021288
23.15;-584.109340765;-29.1082134144;-0.0161604564819
23.2;-585.575417337;-29.0985171406;0.50097415062
23.25;-587.024040616;-29.0209469494;0.409398229013
23.3;-588.472663895;-29.0209469494;-0.188538667288
23.35;-589.921287174;-29.0888208672;-0.0161604734594
23.4;-591.387363746;-29.0694283206;0.867277809572
23.45;-592.835987025;-28.9239842156;0.495587340128
23.5;-594.267157012;-28.9821618544;-0.506360940742
23.55;-595.733233583;-29.0597320422;-0.140057317596
23.6;-597.181856862;-29.0015544072;0.377077270369
23.65;-598.630480142;-28.9821618606;0.296275046916
23.7;-600.079103421;-28.9724655822;0.1454441463
23.75;-601.5277267;-28.9724655806;0.0323209361109
23.8;-602.976349979;-28.97246558;0.00538681851483
23.85;-604.424973258;-28.9724655806;0.0053867935161
23.9;-605.873596537;-28.9724655822;0.0377076833366
23.95;-607.322219816;-28.9724655872;0.183151801548
24;-608.770843096;-28.9627693139;0.474040057717
24.05;-610.219466375;-28.9336804889;0.813409642898
24.1;-611.668089654;-28.8464140272;0.495587330862
24.15;-613.099259641;-28.8464140267;-0.45249274506
24.2;-614.54788292;-28.9336804867;-0.630257764503
24.25;-615.996506199;-28.9530730333;3.08638053386E-010
