"Новый: Время (с)";"Новый: Угол (rad)";"Новый: Скорость (rad/с)";"Новый: Ускорение (rad/с²)"
87.6;-2196.96810253;-21.1281802;-0.172378388871
87.65;-2198.01530008;-21.1475727889;-0.457879802471
87.7;-2199.07995093;-21.2154467;0.00538684875512
87.75;-2200.14460177;-21.1475727611;0.490200429014
87.8;-2201.19179932;-21.12818025;0.323209043221
87.85;-2202.25645017;-21.1184839722;0.156218000001
87.9;-2203.30364772;-21.1184839278;0.0646420308419
87.95;-2204.36829856;-21.1184839278;0.156217527748
88;-2205.41549611;-21.1087877;0.323208895052
88.05;-2206.48014696;-21.0893951556;0.490200709899
88.1;-2207.52734451;-21.0215212;3.64222739869E-007
88.15;-2208.57454206;-21.0893950944;-0.490200429009
88.2;-2209.6391929;-21.10878765;-0.317822617287
88.25;-2210.68639045;-21.1184839722;-0.113123438268
88.3;-2211.7510413;-21.1184839722;0.150831163588
88.35;-2212.79823885;-21.10878765;0.46865351852
88.4;-2213.86288969;-21.0796988222;0.818796320973
88.45;-2214.91008724;-20.9924323833;0.527907793191
88.5;-2215.95728479;-20.9924324333;-0.30166206173
88.55;-2217.00448235;-21.0700026111;-0.307048339495
88.6;-2218.06913319;-21.0700025611;0.490200873457
88.65;-2219.11633074;-20.9827360944;0.635644679008
88.7;-2220.16352829;-20.96334355;-1.66662071798E-007
88.75;-2221.21072584;-20.9827361111;-0.630258138877
88.8;-2222.25792339;-21.0700026111;-0.452492981465
88.85;-2223.32257424;-21.0700026111;0.495587524698
88.9;-2224.36977179;-20.9827361111;0.808023129618
88.95;-2225.41696934;-20.9536472778;0.436332416651
89;-2226.46416689;-20.9439510056;-1.66677243859E-007
89.05;-2227.51136444;-20.9536472944;-0.436332694451
89.1;-2228.55856199;-20.9827361611;-0.808022962967
89.15;-2229.60575955;-21.0700026111;-0.490200148148
89.2;-2230.67041039;-21.0700025611;0.490200891982
89.25;-2231.71760794;-20.9827360944;0.813409753098
89.3;-2232.76480549;-20.9536472722;0.474039975325
89.35;-2233.81200304;-20.9439510056;0.188538376554
89.4;-2234.85920059;-20.9439510222;0.075414987647
89.45;-2235.90639814;-20.9439510722;0.188538345659
89.5;-2236.9535957;-20.9342548;0.47404025615
89.55;-2238.00079325;-20.9051659333;0.813409969131
89.6;-2239.0479908;-20.8178994667;0.490200700636
89.65;-2240.07773506;-20.8178994611;-0.490200324063
89.7;-2241.12493261;-20.9051659111;-0.808022663581
89.75;-2242.17213016;-20.9342547278;-0.43633224691
89.8;-2243.21932771;-20.943951;-3.07477302878E-009
89.85;-2244.26652526;-20.9342547278;0.436332228403
89.9;-2245.31372281;-20.9051659111;0.808022580238
89.95;-2246.36092036;-20.8178994667;0.49558697529
90;-2247.39066462;-20.8178994833;-0.452493169771
90.05;-2248.43786217;-20.9051659833;-0.63025797531
90.1;-2249.48505973;-20.9245585278;0.00538709878306
90.15;-2250.53225728;-20.9051659333;0.667965885813
90.2;-2251.57945483;-20.8178994667;0.63564478395
90.25;-2252.60919909;-20.8082031889;-0.0161603487666
90.3;-2253.65639664;-20.8663808222;0.0377077469128
90.35;-2254.70359419;-20.8082031889;0.204699083321
90.4;-2255.73333845;-20.8082031889;-0.161604537058
90.45;-2256.780536;-20.8663808222;0.145444083336
90.5;-2257.82773355;-20.7985069167;0.490200429035
90.55;-2258.85747781;-20.7791143722;0.177764990764
90.6;-2259.90467536;-20.7791143722;-0.172378172828
90.65;-2260.93441962;-20.7985069167;-0.457879521614
90.7;-2261.98161717;-20.8663808222;0.00538681788593
90.75;-2263.02881472;-20.7985069167;0.490200429001
90.8;-2264.05855898;-20.7791143722;0.323209074064
90.85;-2265.10575653;-20.7694181;0.156217719131
90.9;-2266.13550079;-20.7694181;0.06464181482
90.95;-2267.18269834;-20.7694181;0.156217719147
91;-2268.2124426;-20.7597218278;0.323209074086
91.05;-2269.25964015;-20.7403292833;0.490200429024
91.1;-2270.28938441;-20.6724553778;0.00538681789764
91.15;-2271.31912867;-20.7403292833;-0.457879521635
91.2;-2272.36632622;-20.7597218278;-0.172378172863
91.25;-2273.39607048;-20.7597218278;0.17776499384
91.3;-2274.44326803;-20.7403292833;0.490200447564
91.35;-2275.47301229;-20.6724553778;0.145444169772
91.4;-2276.50275655;-20.7306330056;-0.161604348776
91.45;-2277.5499541;-20.7306329944;0.204699379605
91.5;-2278.57969836;-20.6724553222;0.0377078117065
91.55;-2279.60944261;-20.7306329889;-0.0107737314827
91.6;-2280.65664017;-20.7209367167;0.667965515453
91.65;-2281.68638442;-20.6336702333;0.813409416683
91.7;-2282.71612868;-20.6045814556;0.29627468519
91.75;-2283.74587294;-20.6045814667;-0.290888354937
91.8;-2284.7756172;-20.6336702889;-0.7757018642
91.85;-2285.80536146;-20.7209367389;-0.484813626558
91.9;-2286.85255901;-20.7209367389;0.484813626524
91.95;-2287.88230327;-20.6336702889;0.775701864201
92;-2288.91204753;-20.6045814667;0.290888354958
92.05;-2289.94179179;-20.6045814556;-0.290887867266
92.1;-2290.97153605;-20.6336702333;-0.770314873452
92.15;-2292.0012803;-20.7209367167;-0.447105981501
92.2;-2293.04847786;-20.7209367167;0.667965515401
92.25;-2294.07822211;-20.6239739611;1.24974166666
92.3;-2295.10796637;-20.5657963667;1.10429737349
92.35;-2296.13771063;-20.4785299278;0.204698913611
92.4;-2297.1500016;-20.50761875;-1.22819446296
92.45;-2298.17974586;-20.6821516444;-1.11507105249
92.5;-2299.22694341;-20.7015441722;0.49020089196
92.55;-2300.25668767;-20.5948851278;1.44366747839
92.6;-2301.28643192;-20.4785298611;0.926532401235
92.65;-2302.29872289;-20.4688336389;-0.312435882707
92.7;-2303.32846715;-20.5561001056;-0.770315126534
92.75;-2304.35821141;-20.5851889222;-0.430945265427
92.8;-2305.38795567;-20.5948851778;4.44442740388E-007
92.85;-2306.41769993;-20.5851888556;0.436332527764
92.9;-2307.44744418;-20.5561000389;0.808022407392
92.95;-2308.47718844;-20.4688336389;0.495586802477
93;-2309.48947941;-20.4688336556;-0.45249287035
93.05;-2310.51922367;-20.5561001056;-0.624870706776
93.1;-2311.54896793;-20.5754926333;0.0377081913533
93.15;-2312.57871219;-20.5561000389;0.813409885773
93.2;-2313.60845644;-20.4591373111;0.926532669733
93.25;-2314.62074741;-20.4300485278;0.323209074088
93.3;-2315.65049167;-20.4300484944;-0.285501339476
93.35;-2316.66278263;-20.4591373167;-0.775702160477
93.4;-2317.69252689;-20.5464038167;-0.484814077172
93.45;-2318.72227115;-20.5464038333;0.48481344133
93.5;-2319.75201541;-20.4591373833;0.781088762333
93.55;-2320.76430638;-20.43004855;0.323209521623
93.6;-2321.79405064;-20.4300485;-0.140056966029
93.65;-2322.8063416;-20.4494410444;-0.447106061735
93.7;-2323.83608586;-20.5173149944;0.0377075339259
93.75;-2324.86583012;-20.4494410889;0.635644728383
93.8;-2325.87812109;-20.4203522278;0.614097521627
93.85;-2326.90786534;-20.3912634056;0.490200398178
93.9;-2327.92015631;-20.3330858056;-0.290888166667
93.95;-2328.93244728;-20.4203522222;-0.969627191379
94;-2329.96219153;-20.5076186778;-0.285501629648
94.05;-2330.99193579;-20.4494410889;0.522521120372
94.1;-2332.00422676;-20.4203522722;0.759541518538
94.15;-2333.03397102;-20.3815671389;0.926532876553
94.2;-2334.04626198;-20.2943006889;0.377077055548
94.25;-2335.05855295;-20.3039970056;-0.770315154338
94.3;-2336.07084392;-20.410656;-1.11507108951
94.35;-2337.10058818;-20.4979224056;0.0323211882883
94.4;-2338.13033243;-20.41065595;1.27128899693
94.45;-2339.1426234;-20.2943007167;1.10429768826
94.5;-2340.15491437;-20.2652118667;0.177765104921
94.55;-2341.16720533;-20.2846044111;-0.630257805558
94.6;-2342.1794963;-20.3718708944;-0.630257694426
94.65;-2343.20924056;-20.3815671333;0.0215473827275
94.7;-2344.22153152;-20.3233895;-1.11112825607E-007
94.75;-2345.23382249;-20.3815671667;-0.0161604537114
94.8;-2346.26356675;-20.3718708611;0.673352348756
94.85;-2347.27585771;-20.2846044111;0.851117117281
94.9;-2348.28814868;-20.2555156278;0.479426793212
94.95;-2349.30043965;-20.2458193222;0.183151922837
95;-2350.31273061;-20.2458193222;0.0323208148071
95.05;-2351.32502158;-20.2458193556;-0.0323208240726
95.1;-2352.33731255;-20.2458193167;-0.18315152776
95.15;-2353.34960351;-20.2555155778;-0.474039873446
95.2;-2354.36189448;-20.2846043944;-0.808022783951
95.25;-2355.37418544;-20.3718708556;-0.452492966048
95.3;-2356.4039297;-20.3718708944;0.667965419754
95.35;-2357.41622067;-20.2749081333;1.24974201233
95.4;-2358.42851163;-20.2167304889;1.10429774998
95.45;-2359.4408026;-20.1294640389;0.204698895062
95.5;-2360.43564027;-20.1585528722;-1.228194929
95.55;-2361.44793124;-20.3330858222;-1.11507158333
95.6;-2362.4776755;-20.3524783667;0.490200709873
95.65;-2363.48996647;-20.2458193222;1.44366766358
95.7;-2364.50225743;-20.1294640389;0.926532947529
95.75;-2365.49709511;-20.1197677611;-0.307048533961
95.8;-2366.50938607;-20.2070342111;-0.737994117283
95.85;-2367.52167704;-20.2361230333;-0.285501530843
95.9;-2368.533968;-20.2361230444;0.290887885815
95.95;-2369.54625897;-20.2070342667;0.77570177777
96;-2370.55854994;-20.1197677778;0.490200709859
96.05;-2371.55338761;-20.1197677667;-0.452492518523
96.1;-2372.56567858;-20.2070342111;-0.624870790107
96.15;-2373.57796954;-20.2264267556;0.0377077438359
96.2;-2374.59026051;-20.2070342111;0.813409506165
96.25;-2375.60255147;-20.1100714889;0.926532675912
96.3;-2376.59738915;-20.0809826722;0.317822237653
96.35;-2377.60968011;-20.0809826722;-0.317822342577
96.4;-2378.60451779;-20.1100714944;-0.921146046296
96.45;-2379.61680875;-20.2070342278;-0.77570205866
96.5;-2380.62909972;-20.2264268111;0.150830901227
96.55;-2381.64139069;-20.1973379556;1.13661885805
96.6;-2382.65368165;-20.0809826778;1.44905420064
96.65;-2383.64851933;-19.98401995;0.474040061721
96.7;-2384.643357;-20.0421975833;-0.452492685213
96.75;-2385.65564797;-20.0712864;-0.608710419767
96.8;-2386.65048564;-20.1003752167;-0.630257694424
96.85;-2387.66277661;-20.1682491222;2.38979206794E-011
96.9;-2388.67506757;-20.1003752167;0.630257694439
96.95;-2389.66990525;-20.0712864;0.614097243802
97;-2390.68219621;-20.0421975833;0.495587265421
97.05;-2391.67703389;-19.98401995;-0.253180354921
97.1;-2392.67187156;-20.0712863944;-0.791862046284
97.15;-2393.68416253;-20.1488565611;0.15083118208
97.2;-2394.69645349;-20.0615900722;1.15277903085
97.25;-2395.69129116;-19.9549311167;0.781088314829
97.3;-2396.68612884;-19.9452348556;-0.339369712943
97.35;-2397.68096651;-20.0325013111;-0.743380956793
97.4;-2398.69325748;-20.0615901278;-0.285501367301
97.45;-2399.68809515;-20.0615901278;0.29088816358
97.5;-2400.70038612;-20.0325013111;0.781088598777
97.55;-2401.69522379;-19.9452348611;0.51713453704
97.6;-2402.69006147;-19.9452348611;-0.339369441361
97.65;-2403.68489914;-20.0228050333;-0.484813425924
97.7;-2404.69719011;-20.0325012944;0.05386845988
97.75;-2405.69202778;-19.9743236222;0.00538682098764
97.8;-2406.68686545;-20.0325012944;-0.016160716053
97.85;-2407.69915642;-20.0228050333;0.667965320985
97.9;-2408.69399409;-19.9355385833;0.813409601854
97.95;-2409.68883177;-19.9064497556;0.301662064811
98;-2410.68366944;-19.9064497167;-0.253180441369
98.05;-2411.67850711;-19.9355385722;-0.592550231483
98.1;-2412.67334479;-20.0131087611;-0.0161605524592
98.15;-2413.68563575;-19.9840199444;1.26590230864
98.2;-2414.68047343;-19.8094870333;1.12045840431
98.25;-2415.65785781;-19.79009445;-0.490200345665
98.3;-2416.65269548;-19.8967534778;-1.4382804722
98.35;-2417.64753316;-20.0131087444;-0.888824839502
98.4;-2418.65982412;-20.0228049833;0.49558724689
98.45;-2419.65466179;-19.9258422944;1.24974164195
98.5;-2420.64949947;-19.8676646611;1.27667595371
98.55;-2421.64433714;-19.7707019056;0.641031330259
98.6;-2422.62172152;-19.7707019389;-0.597936901228
98.65;-2423.6165592;-19.8676646611;-1.09891075925
98.7;-2424.61139687;-19.9161459889;-0.808022768513
98.75;-2425.60623454;-19.9840199333;0.172377891979
98.8;-2426.61852551;-19.8967534944;1.08813711419
98.85;-2427.59590989;-19.7997907722;0.614097342584
98.9;-2428.59074757;-19.83857585;0.0377080092496
98.95;-2429.58558524;-19.7997907222;-0.425558512358
99;-2430.56296962;-19.8870572056;-0.614097250003
99.05;-2431.57526059;-19.9452348333;0.641031614219
99.1;-2432.57009826;-19.7900944333;1.29822332718
99.15;-2433.54748264;-19.7416130722;0.614097027766
99.2;-2434.54232031;-19.7319168444;-0.17237845372
99.25;-2435.5197047;-19.7610056667;-0.894211740735
99.3;-2436.51454237;-19.8579683556;-0.802635867267
99.35;-2437.50938004;-19.8773609333;-3.08662606585E-008
99.4;-2438.50421772;-19.8579683833;0.808022966028
99.45;-2439.49905539;-19.7610056167;0.931919712955
99.5;-2440.47643977;-19.7319168;0.35552978704
99.55;-2441.47127744;-19.7319168444;-0.134670645051
99.6;-2442.44866183;-19.7513093889;-0.447105688255
99.65;-2443.4434995;-19.81918325;0.03770792284
99.7;-2444.43833717;-19.7513093444;0.6356443148
99.75;-2445.41572155;-19.7222205722;0.614097043205
99.8;-2446.41055923;-19.6931317556;0.490200626562
99.85;-2447.38794361;-19.6349540778;-0.290887969122
99.9;-2448.36532799;-19.7222205278;-0.969627416684
99.95;-2449.36016566;-19.8094870222;-0.290888345697
100;-2450.35500334;-19.7513093889;0.490200709884
100.05;-2451.33238772;-19.7222205222;0.614097604955
100.1;-2452.32722539;-19.6931316944;0.635644512346
100.15;-2453.30460977;-19.6252578;0.0323205431975
100.2;-2454.28199415;-19.6931317556;-0.484813891975
100.25;-2455.27683183;-19.7125243;-0.317822077154
100.3;-2456.25421621;-19.7222205278;-0.113122981484
100.35;-2457.24905388;-19.7222205278;0.150830706787
100.4;-2458.22643826;-19.7125243;0.468652978392
100.45;-2459.22127594;-19.6834354833;0.81879660184
100.5;-2460.19866032;-19.5961689833;0.527908518511
100.55;-2461.1760447;-19.5961689722;-0.301661802455
100.6;-2462.15342908;-19.6737391611;-0.30704898147
100.65;-2463.14826675;-19.6737392111;0.490200169749
100.7;-2464.12565114;-19.5864727611;0.635644796298
100.75;-2465.10303552;-19.5670801667;-0.00538635493349
100.8;-2466.0804199;-19.5864726944;-0.662578351856
100.85;-2467.05780428;-19.6737391389;-0.597936787044
100.9;-2468.05264195;-19.6834354167;0.204698830244
100.95;-2469.03002633;-19.6155615278;0.468652694441
101;-2470.00741071;-19.6446503944;0.759541043214
101.05;-2471.00224839;-19.5476876722;0.980401135825
101.1;-2471.96217948;-19.4701174444;-0.11312273147
101.15;-2472.93956386;-19.5573838778;-1.14739204632
101.2;-2473.91694824;-19.6640428722;-0.781088762369
101.25;-2474.91178591;-19.6737391611;0.344755901242
101.3;-2475.88917029;-19.5864727611;0.781088317916
101.35;-2476.86655468;-19.5573839444;0.468653438272
101.4;-2477.84393906;-19.5476876222;0.183152274685
101.45;-2478.82132344;-19.5476876056;0.0377079969016
101.5;-2479.79870782;-19.5476876;0.0107737407384
101.55;-2480.7760922;-19.5476876;0.0377077469363
101.6;-2481.75347658;-19.5476876;0.183151811746
101.65;-2482.73086096;-19.5379913278;0.474039972207
101.7;-2483.70824534;-19.5089025111;0.813409481461
101.75;-2484.68562972;-19.4216360611;0.490200324078
101.8;-2485.64556081;-19.4216360667;-0.490200700607
101.85;-2486.62294519;-19.5089025333;-0.80802315123
101.9;-2487.60032957;-19.5379914;-0.436332530865
101.95;-2488.57771396;-19.5476876722;2.80851186258E-007
102;-2489.55509834;-19.53799135;0.436332716041
102.05;-2490.53248272;-19.5089025167;0.808022956805
102.1;-2491.5098671;-19.4216360611;0.49558735186
102.15;-2492.46979819;-19.4216360611;-0.452492682109
102.2;-2493.44718257;-19.5089025111;-0.624870873456
102.25;-2494.42456695;-19.5282950556;0.0377077253184
102.3;-2495.40195133;-19.5089025111;0.813409503089
102.35;-2496.37933571;-19.4119397889;0.926532679009
102.4;-2497.3392668;-19.3828509722;0.323209074069
102.45;-2498.31665118;-19.3828509722;-0.280114530876
102.5;-2499.27658227;-19.4119397889;-0.743380870378
102.55;-2500.25396665;-19.4992062389;-0.339369527764
102.6;-2501.23135103;-19.4895099667;0.781088595689
102.65;-2502.20873541;-19.3828509722;1.15277903086
102.7;-2503.1686665;-19.2955845222;0.150830901238
102.75;-2504.12859759;-19.3731547;-0.797249049376
102.8;-2505.10598197;-19.46042115;-0.28550134877
102.85;-2506.08336635;-19.4022435167;0.350143163568
102.9;-2507.04329744;-19.3828509722;0.323209074059
102.95;-2508.02068182;-19.3731547;0.290888166661
103;-2508.98061291;-19.3634584278;0.323209074088
103.05;-2509.95799729;-19.3440658833;0.350143163596
103.1;-2510.91792838;-19.28588825;-0.290888166661
103.15;-2511.87785947;-19.3731547;-0.829569956787
103.2;-2512.85524385;-19.4507248778;0.00538681790016
103.25;-2513.83262823;-19.3731547;0.861890864187
103.3;-2514.79255932;-19.28588825;0.441719067892
103.35;-2515.75249041;-19.3343696111;-0.0215472716062
103.4;-2516.72987479;-19.3343696111;0.199312262343
103.45;-2517.68980588;-19.2761919778;-0.14005726543
103.5;-2518.64973697;-19.3440658833;-0.484813608022
103.55;-2519.62712135;-19.3634584278;-0.140057243822
103.6;-2520.58705244;-19.3634584278;0.355530086432
103.65;-2521.56443682;-19.3343696056;0.931919768512
103.7;-2522.52436791;-19.2374068667;0.813409969122
103.75;-2523.484299;-19.2180142722;0.0377080061826
103.8;-2524.44423008;-19.2374068167;-0.624871157387
103.85;-2525.40416117;-19.3246733167;-0.452493169756
103.9;-2526.38154555;-19.3246733333;0.490200157384
103.95;-2527.34147664;-19.2374068889;0.775701672824
104;-2528.30140773;-19.2083180722;0.290888145067
104.05;-2529.26133882;-19.2083180722;-0.290888166645
104.1;-2530.22126991;-19.2374068889;-0.775701756163
104.15;-2531.181201;-19.3246733389;-0.484813506183
104.2;-2532.15858538;-19.3246733333;0.490200700619
104.25;-2533.11851647;-19.2374068667;0.813409969142
104.3;-2534.07844756;-19.208318;0.474040256168
104.35;-2535.03837864;-19.1986217278;0.183151527768
104.4;-2535.99830973;-19.1986217778;0.0377072623351
104.45;-2536.95824082;-19.1986217944;0.0107733857991
104.5;-2537.91817191;-19.1986218;0.0377077253214
104.55;-2538.878103;-19.1986217944;0.177765240752
104.6;-2539.83803409;-19.1889255056;0.436332712962
104.65;-2540.79796518;-19.1598366389;0.635644796293
104.7;-2541.75789626;-19.0822664611;0.0538679197462
104.75;-2542.70037406;-19.1113553278;-1.12045848457
104.8;-2543.66030515;-19.2761919667;-0.829569956778
104.85;-2544.63768953;-19.2761919556;0.834957135808
104.9;-2545.59762062;-19.1113552778;1.15816610801
104.95;-2546.54009841;-19.0822664611;0.129283348763
105;-2547.5000295;-19.1501404167;-0.161604981481
105.05;-2548.45996059;-19.1501404333;0.382463904321
105.1;-2549.41989168;-19.0725702556;0.350143330249
105.15;-2550.36236948;-19.0725702389;-0.344755901243
105.2;-2551.32230057;-19.1501403667;-0.344756064816
105.25;-2552.28223165;-19.1501403667;0.339369268526
105.3;-2553.24216274;-19.0725702389;0.312435077171
105.35;-2554.18464054;-19.07257025;-0.490200429001
105.4;-2555.14457163;-19.1598366889;-0.63025733026
105.45;-2556.10450272;-19.1792291833;0.0377080061551
105.5;-2557.0644338;-19.1598366389;0.818796141985
105.55;-2558.02436489;-19.0628739611;0.964240209891
105.6;-2558.96684269;-19.0337851444;0.50097425926
105.65;-2559.92677378;-19.0240888278;0.156217898144
105.7;-2560.86925157;-19.0240888278;-0.113123456801
105.75;-2561.82918266;-19.03378515;-0.31782262038
105.8;-2562.77166046;-19.0531777056;-0.484813608021
105.85;-2563.73159155;-19.1210516;0.0323212901312
105.9;-2564.69152264;-19.0531776444;0.635644876547
105.95;-2565.63400043;-19.0240888222;0.614097228391
106;-2566.59393152;-18.9950000389;0.495587249997
106.05;-2567.53640932;-18.9368223722;-0.258567228382
106.1;-2568.47888711;-19.0240888278;-0.824183419749
106.15;-2569.4388182;-19.10165905;0.0053866049207
106.2;-2570.39874929;-19.0240888722;0.861891077146
106.25;-2571.34122709;-18.9368223778;0.436332530867
106.3;-2572.28370488;-18.9853037333;-0.0538682098539
106.35;-2573.24363597;-18.9853037667;0.0538681790233
106.4;-2574.18611377;-18.9368223722;-0.430945401248
106.45;-2575.12859156;-19.0240888278;-0.824183416671
106.5;-2576.08852265;-19.10165905;0.177764796295
106.55;-2577.04845374;-19.0143926;1.30361022839
106.6;-2577.99093154;-18.8980372833;1.10429811728
106.65;-2578.93340933;-18.86894845;0.145444249996
106.7;-2579.87588713;-18.8883409944;-0.775701944442
106.75;-2580.81836492;-18.9853037333;-0.921146308636
106.8;-2581.77829601;-19.0143926;-0.317822552461
106.85;-2582.72077381;-19.0143926;0.323209268529
106.9;-2583.6807049;-18.9853037389;0.958853864186
106.95;-2584.62318269;-18.8883410111;0.958853558622
107;-2585.56566049;-18.8592522278;0.328595910486
107.05;-2586.50813829;-18.8592521944;-0.280114413576
107.1;-2587.45061608;-18.8883410111;-0.743380962954
107.15;-2588.39309388;-18.9756074944;-0.339369444445
107.2;-2589.35302497;-18.9659111833;0.781088876546
107.25;-2590.29550276;-18.8592521778;1.15277913272
107.3;-2591.23798056;-18.7719857278;0.150830802468
107.35;-2592.16300506;-18.8495559167;-0.797249311725
107.4;-2593.12293615;-18.9368224056;-0.285501348769
107.45;-2594.06541395;-18.8786447333;0.344756608026
107.5;-2595.00789174;-18.8592521778;0.290888265436
107.55;-2595.95036954;-18.8495559056;0.145443981488
107.6;-2596.89284733;-18.8495559167;0.0323206265577
107.65;-2597.83532513;-18.8495559556;0.00538673455801
107.7;-2598.77780293;-18.8495559222;0.0053869135568
107.75;-2599.72028072;-18.8495559222;0.0377076296261
107.8;-2600.66275852;-18.8495559556;0.183151895075
107.85;-2601.60523632;-18.8398596444;0.474040274708
107.9;-2602.54771411;-18.8107708167;0.813409688265
107.95;-2603.49019191;-18.7235043611;0.490200496892
108;-2604.41521641;-18.7235043611;-0.484813675935
108.05;-2605.35769421;-18.8107708167;-0.775701941352
108.1;-2606.300172;-18.8398596444;-0.285501543198
108.15;-2607.2426498;-18.8398596778;0.328596077161
108.2;-2608.1851276;-18.8107708111;0.958854145063
108.25;-2609.12760539;-18.7138080389;0.958853753091
108.3;-2610.05262989;-18.6847192556;0.323208793219
108.35;-2610.99510769;-18.6847192722;-0.317822608011
108.4;-2611.92013219;-18.7138081056;-0.926533043219
108.45;-2612.86260999;-18.8107708667;-0.808022703729
108.5;-2613.80508779;-18.8301633722;2.77766426156E-007
108.55;-2614.74756558;-18.8107708167;0.808022870377
108.6;-2615.69004338;-18.7138080889;0.926532765444
108.65;-2616.61506788;-18.6847192722;0.323209092595
108.7;-2617.55754568;-18.6847192722;-0.280114527775
108.75;-2618.48257018;-18.7138080889;-0.743380870372
108.8;-2619.42504798;-18.8010745389;-0.33398270988
108.85;-2620.36752577;-18.7913782667;0.813409503091
108.9;-2621.31000357;-18.6847192722;1.2982231142
108.95;-2622.23502807;-18.58775655;0.441719067905
109;-2623.16005258;-18.6459341833;-0.457879521606
109.05;-2624.10253037;-18.675023;-0.608710422844
109.1;-2625.02755488;-18.7041118167;-0.630257694447
109.15;-2625.97003267;-18.7719857222;-1.00462847917E-011
109.2;-2626.91251047;-18.7041118167;0.635644512341
109.25;-2627.83753497;-18.675023;0.646418148158
109.3;-2628.78001277;-18.6459341833;0.641031330271
109.35;-2629.70503727;-18.5780602778;0.0377077253157
109.4;-2630.63006178;-18.6459341833;-0.447105882737
109.45;-2631.57253957;-18.6653267278;-0.140057246932
109.5;-2632.49756408;-18.6653267278;0.323209160491
109.55;-2633.44004187;-18.6362379056;0.781088780877
109.6;-2634.36506638;-18.5489714444;0.484813891989
109.65;-2635.29009088;-18.5489714056;-0.484813611107
109.7;-2636.21511538;-18.6362378944;-0.775702058651
109.75;-2637.15759318;-18.6653267222;-0.285501530876
109.8;-2638.08261768;-18.6653267278;0.328595824077
109.85;-2639.02509548;-18.6362379111;0.958853654326
109.9;-2639.95011998;-18.5392751833;0.958853768512
109.95;-2640.87514449;-18.5101863556;0.328596172829
110;-2641.80016899;-18.5101863167;-0.285501345676
110.05;-2642.72519349;-18.5392751722;-0.775702040105
110.1;-2643.650218;-18.6265416333;-0.484813709857
110.15;-2644.59269579;-18.6265416333;0.490200530858
110.2;-2645.5177203;-18.5392751722;0.808022966027
110.25;-2646.4427448;-18.5101863167;0.436332333329
110.3;-2647.3677693;-18.5004900778;-9.56640317579E-008
110.35;-2648.29279381;-18.51018635;-0.436332154304
110.4;-2649.21781831;-18.5392751333;-0.808022768527
110.45;-2650.14284281;-18.6265416222;-0.490200709897
110.5;-2651.08532061;-18.6265416333;0.490200327155
110.55;-2652.01034511;-18.5392751833;0.813409604945
110.6;-2652.93536962;-18.5101863556;0.474040256177
110.65;-2653.86039412;-18.5004900444;0.183151891969
110.7;-2654.78541862;-18.5004900778;0.0377076327116
110.75;-2655.71044313;-18.5004900778;0.0107737500072
110.8;-2656.63546763;-18.5004900444;0.037707725331
110.85;-2657.56049213;-18.5004900778;0.183151697539
110.9;-2658.48551664;-18.4907938056;0.4740400864
110.95;-2659.41054114;-18.4617049556;0.813409503071
111;-2660.33556564;-18.3744385389;0.4902003179
111.05;-2661.24313686;-18.3744385389;-0.490200317895
111.1;-2662.16816136;-18.4617049556;-0.808022685181
111.15;-2663.09318586;-18.4907938056;-0.436332361118
111.2;-2664.01821037;-18.5004900778;1.11101281261E-007
111.25;-2664.94323487;-18.4907937722;0.436332250005
111.3;-2665.86825937;-18.4617049889;0.808022574095
111.35;-2666.79328388;-18.3744385389;0.495587361131
111.4;-2667.70085509;-18.3744385056;-0.452492685193
111.45;-2668.62587959;-18.4617049889;-0.624870904345
111.5;-2669.5509041;-18.4810975278;0.0377080061616
111.55;-2670.4759286;-18.4617049389;0.813409716055
111.6;-2671.4009531;-18.3647422167;0.92653246606
111.65;-2672.30852431;-18.3356534444;0.323208793207
111.7;-2673.23354882;-18.33565345;-0.285501317912
111.75;-2674.14112003;-18.3647422333;-0.775701774693
111.8;-2675.06614453;-18.4520087167;-0.484813623445
111.85;-2675.99116904;-18.4520087111;0.490200793223
111.9;-2676.91619354;-18.3647422111;0.813409885807
111.95;-2677.82376475;-18.3356533833;0.468653157399
112;-2678.74878925;-18.3259571222;0.15083051851
112.05;-2679.65636046;-18.3259571722;-0.113123540119
112.1;-2680.58138497;-18.33565345;-0.317822243825
112.15;-2681.48895618;-18.3550459611;-0.48481361112
112.2;-2682.41398068;-18.4229199;0.0323208950524
112.25;-2683.33900519;-18.3550459889;0.641031694442
112.3;-2684.2465764;-18.3259571222;0.646418530871
112.35;-2685.1716009;-18.2968682944;0.635644515441
112.4;-2686.07917211;-18.2289944;-3.64199674863E-007
112.45;-2686.98674332;-18.2968683556;-0.630257975313
112.5;-2687.91176783;-18.3259571722;-0.608710243823
112.55;-2688.81933904;-18.3550459444;-0.457879327145
112.6;-2689.74436354;-18.4132235778;0.441718873459
112.65;-2690.66938804;-18.3162609;1.29822293516
112.7;-2691.57695926;-18.2096019056;0.813409783941
112.75;-2692.48453047;-18.1999055833;-0.333982345662
112.8;-2693.39210168;-18.2871720222;-0.743380870356
112.85;-2694.31712618;-18.31626085;-0.280114891974
112.9;-2695.22469739;-18.3162609;0.323208814804
112.95;-2696.1497219;-18.2871720833;0.926532962949
113;-2697.05729311;-18.1902093111;0.813409966046
113.05;-2697.96486432;-18.17081675;0.0323211574141
