Новый: Время (с)	Новый: Угол (rad)	Новый: Скорость (rad/с)	Новый: Ускорение (rad/с?)
127.35	-1437.854598	-2.714956622	0.177764991
127.4	-1437.994224	-2.647082717	0.49558725
127.45	-1438.116397	-2.627690172	0.177765012
127.5	-1438.256023	-2.627690172	-0.172378068
127.55	-1438.378196	-2.647082711	-0.45787925
127.6	-1438.517823	-2.7149566	0.005387284
127.65	-1438.657449	-2.647082644	0.49020071
127.7	-1438.779622	-2.6276901	0.323208793
127.75	-1438.919249	-2.617993878	0.150830435
127.8	-1439.041422	-2.617993894	0.032320636
127.85	-1439.181048	-2.6179939	0.005386713
127.9	-1439.303221	-2.6179939	-1.85E-08
127.95	-1439.442847	-2.6179939	1.85E-08
128	-1439.56502	-2.6179939	1.05E-07
128.05	-1439.704647	-2.617993894	2.72E-07
128.1	-1439.82682	-2.617993878	4.66E-07
128.15	-1439.966446	-2.617993828	0.005387099
128.2	-1440.088619	-2.617993828	0.032320627
128.25	-1440.228245	-2.617993878	0.150830438
128.3	-1440.350419	-2.608297622	0.328595642
128.35	-1440.490045	-2.588905083	0.522521336
128.4	-1440.612218	-2.521031172	0.150831151
128.45	-1440.734391	-2.579208789	-0.161604074
128.5	-1440.874017	-2.579208739	0.204699364
128.55	-1440.99619	-2.521031106	0.032320648
128.6	-1441.118363	-2.579208789	-0.048481722
128.65	-1441.25799	-2.569512528	0.490200429
128.7	-1441.380163	-2.491942339	0.377077614
128.75	-1441.502336	-2.491942289	-0.333982451
128.8	-1441.624509	-2.569512467	-0.307048901
128.85	-1441.764135	-2.569512517	0.52790771
128.9	-1441.886308	-2.482246083	0.818796154
128.95	-1442.008481	-2.453157267	0.474040142
129	-1442.130654	-2.443460978	0.183152256
129.05	-1442.252827	-2.443460928	0.037708025
129.1	-1442.375	-2.443460928	0.005386642
129.15	-1442.497173	-2.443460972	-1.94E-07
129.2	-1442.619347	-2.443460972	1.98E-07
129.25	-1442.74152	-2.443460928	1.98E-07
129.3	-1442.863693	-2.443460928	-1.98E-07
129.35	-1442.985866	-2.443460972	-1.98E-07
129.4	-1443.108039	-2.443460972	1.98E-07
129.45	-1443.230212	-2.443460928	1.98E-07
129.5	-1443.352385	-2.443460928	-1.98E-07
129.55	-1443.474558	-2.443460972	-1.98E-07
129.6	-1443.596731	-2.443460972	0.005387015
129.65	-1443.718904	-2.443460928	0.037707923
129.7	-1443.841077	-2.443460928	0.183151611
129.75	-1443.96325	-2.4337647	0.474039778
129.8	-1444.085423	-2.404675883	0.813409701
129.85	-1444.207596	-2.317409389	0.490200627
129.9	-1444.312316	-2.317409389	-0.484813809
129.95	-1444.434489	-2.404675883	-0.775701972
130	-1444.556662	-2.4337647	-0.290887951
130.05	-1444.678835	-2.433764656	0.290888448
130.1	-1444.801008	-2.404675833	0.781088568
130.15	-1444.923181	-2.317409417	0.522521355
130.2	-1445.027901	-2.317409383	-0.307048506
130.25	-1445.150074	-2.394979561	-0.339369642
130.3	-1445.272247	-2.394979594	0.344756327
130.35	-1445.39442	-2.317409383	0.344756373
130.4	-1445.49914	-2.317409389	-0.344756627
130.45	-1445.621313	-2.394979611	-0.339369741
130.5	-1445.743486	-2.394979611	0.377077466
130.55	-1445.865659	-2.317409389	0.495587528
130.6	-1445.970379	-2.307713111	-0.016160481
130.65	-1446.092552	-2.365890778	0.177765009
130.7	-1446.214725	-2.298016839	0.495587361
130.75	-1446.319445	-2.278624294	0.17776488
130.8	-1446.441618	-2.278624328	-0.172378173
130.85	-1446.546337	-2.298016839	-0.45787941
130.9	-1446.66851	-2.365890744	0.005386707
130.95	-1446.790683	-2.298016872	0.490200429
131	-1446.895403	-2.278624294	0.323209188
131.05	-1447.017576	-2.268928022	0.150830809
131.1	-1447.122296	-2.268928056	0.032320991
131.15	-1447.244469	-2.268928017	0.005387099
131.2	-1447.349189	-2.268928006	1.02E-07
131.25	-1447.471362	-2.268928006	0.005386719
131.3	-1447.576082	-2.268928017	0.032320645
131.35	-1447.698255	-2.268928056	0.150830901
131.4	-1447.802974	-2.259231744	0.328596154
131.45	-1447.925147	-2.239839189	0.527908253
131.5	-1448.029867	-2.171965283	0.183151707
131.55	-1448.134587	-2.230142928	-0.016160735
131.6	-1448.25676	-2.220446694	0.495587164
131.65	-1448.36148	-2.142876483	0.377077349
131.7	-1448.4662	-2.142876483	-0.333982806
131.75	-1448.570919	-2.220446694	-0.307048534
131.8	-1448.693092	-2.220446656	0.527908454
131.85	-1448.797812	-2.133180194	0.813409691
131.9	-1448.902532	-2.104091372	0.436332336
131.95	-1449.007252	-2.0943951	1.85E-08
132	-1449.111971	-2.104091372	-0.436332247
132.05	-1449.216691	-2.133180189	-0.808022685
132.1	-1449.321411	-2.220446639	-0.490200429
132.15	-1449.443584	-2.220446639	0.490200429
132.2	-1449.548304	-2.133180189	0.813409503
132.25	-1449.653023	-2.104091372	0.474039975
132.3	-1449.757743	-2.0943951	0.183151809
132.35	-1449.862463	-2.0943951	0.037707725
132.4	-1449.967183	-2.0943951	0.005386818
132.45	-1450.071902	-2.0943951	-3.09E-09
132.5	-1450.176622	-2.0943951	-1.85E-08
132.55	-1450.281342	-2.0943951	0.005386735
132.6	-1450.386062	-2.094395106	0.037707559
132.65	-1450.490781	-2.094395117	0.183151614
132.7	-1450.595501	-2.084698878	0.47404016
132.75	-1450.700221	-2.055610011	0.813410065
132.8	-1450.804941	-1.968343511	0.490200614
132.85	-1450.892207	-1.968343544	-0.484813806
132.9	-1450.996927	-2.055610006	-0.775701944
132.95	-1451.101647	-2.084698828	-0.29088825
133	-1451.206366	-2.084698828	0.290888148
133.05	-1451.311086	-2.055610011	0.781088593
133.1	-1451.415806	-1.968343561	0.52252134
133.15	-1451.503072	-1.968343561	-0.307048602
133.2	-1451.607792	-2.045913739	-0.333982623
133.25	-1451.712512	-2.045913733	0.377077438
133.3	-1451.817232	-1.968343544	0.49020071
133.35	-1451.904498	-1.958647233	-0.048481358
133.4	-1452.009218	-2.016824906	0.032320645
133.45	-1452.113938	-1.958647283	0.204698981
133.5	-1452.201204	-1.958647283	-0.161604438
133.55	-1452.305924	-2.016824906	0.150831164
133.6	-1452.410644	-1.948950961	0.522521333
133.65	-1452.49791	-1.929558456	0.328595611
133.7	-1452.60263	-1.919862194	0.150830719
133.75	-1452.689896	-1.9198622	0.03232084
133.8	-1452.794616	-1.9198622	0.005386886
133.85	-1452.881883	-1.919862194	1.85E-07
133.9	-1452.986602	-1.919862183	2.99E-07
133.95	-1453.073869	-1.919862144	8.64E-08
134	-1453.178589	-1.919862178	0.005386725
134.05	-1453.265855	-1.919862178	0.032321022
134.1	-1453.370575	-1.919862144	0.150830901
134.15	-1453.457841	-1.910165906	0.328595781
134.2	-1453.562561	-1.890773361	0.527908265
134.25	-1453.649827	-1.822899422	0.188538627
134.3	-1453.737094	-1.881077089	0.02154716
134.35	-1453.841814	-1.871380817	0.673352349
134.4	-1453.92908	-1.784114333	0.813409503
134.45	-1454.016347	-1.75502555	0.296274873
134.5	-1454.103613	-1.75502555	-0.290888052
134.55	-1454.190879	-1.784114333	-0.775701759
134.6	-1454.278146	-1.871380817	-0.484813639
134.65	-1454.382866	-1.871380811	0.49020071
134.7	-1454.470132	-1.784114317	0.813409716
134.75	-1454.557399	-1.7550255	0.474039762
134.8	-1454.644665	-1.745329272	0.183151528
134.85	-1454.731932	-1.745329278	0.043094574
134.9	-1454.819198	-1.745329244	0.043094546
134.95	-1454.906464	-1.745329278	0.183151796
135	-1454.993731	-1.735633	0.47404034
135.05	-1455.080997	-1.706544133	0.813409886
135.1	-1455.168264	-1.619277672	0.49558725
135.15	-1455.238077	-1.619277683	-0.452493065
135.2	-1455.325343	-1.706544183	-0.630257957
135.25	-1455.41261	-1.725936728	2.62E-07
135.3	-1455.499876	-1.706544133	0.635644873
135.35	-1455.587143	-1.619277672	0.490200429
135.4	-1455.656956	-1.619277683	-0.312435799
135.45	-1455.744223	-1.696847911	-0.333982969
135.5	-1455.831489	-1.696847911	0.377077534
135.55	-1455.918755	-1.619277683	0.490200873
135.6	-1455.988569	-1.609581394	-0.048481194
135.65	-1456.075835	-1.667759028	0.032320741
135.7	-1456.163102	-1.609581411	0.204698636
135.75	-1456.232915	-1.609581461	-0.161604815
135.8	-1456.320181	-1.667759094	0.145444361
135.85	-1456.407448	-1.599885139	0.490200873
135.9	-1456.477261	-1.580492578	0.177765157
135.95	-1456.564527	-1.580492578	-0.17237834
136	-1456.63434	-1.599885139	-0.457879966
136.05	-1456.721607	-1.667759094	0.00538654
136.1	-1456.808873	-1.599885189	0.495587528
136.15	-1456.878687	-1.580492594	0.355530444
136.2	-1456.965953	-1.570796306	0.301662052
136.25	-1457.035766	-1.561100028	0.355529981
136.3	-1457.123033	-1.541707489	0.495586997
136.35	-1457.192846	-1.4738336	0.005386355
136.4	-1457.262659	-1.541707556	-0.457879802
136.45	-1457.349925	-1.5611001	-0.172377892
136.5	-1457.419739	-1.56110005	0.177765457
136.55	-1457.507005	-1.541707489	0.495587519
136.6	-1457.576818	-1.473833578	0.183151914
136.65	-1457.646631	-1.532011211	0.016160475
136.7	-1457.733898	-1.522314939	0.641031333
136.75	-1457.803711	-1.435048489	0.66796542
136.8	-1457.873524	-1.415655944	0.005386818
136.85	-1457.943337	-1.435048489	-0.630257694
136.9	-1458.013151	-1.522314939	-0.452492704
136.95	-1458.100417	-1.522314939	0.495587247
137	-1458.17023	-1.435048489	0.813409503
137.05	-1458.240043	-1.405959672	0.474039975
137.1	-1458.309857	-1.3962634	0.183151809
137.15	-1458.37967	-1.3962634	0.037707725
137.2	-1458.449483	-1.3962634	0.005386818
137.25	-1458.519296	-1.3962634	-2.25E-12
137.3	-1458.589109	-1.3962634	-7.01E-12
137.35	-1458.658922	-1.3962634	-3.90E-13
137.4	-1458.728736	-1.3962634	6.36E-12
137.45	-1458.798549	-1.3962634	3.29E-12
137.5	-1458.868362	-1.3962634	-2.25E-12
137.55	-1458.938175	-1.3962634	-3.09E-09
137.6	-1459.007988	-1.3962634	-2.16E-08
137.65	-1459.077801	-1.3962634	0.005386716
137.7	-1459.147615	-1.396263406	0.037707475
137.75	-1459.217428	-1.396263422	0.183151448
137.8	-1459.287241	-1.386567194	0.474039966
137.85	-1459.357054	-1.357478361	0.818797068
137.9	-1459.426867	-1.270211811	0.527908901
137.95	-1459.479227	-1.270211794	-0.301661812
138	-1459.54904	-1.347782017	-0.301662164
138.05	-1459.618853	-1.347782033	0.522521086
138.1	-1459.688667	-1.260515589	0.786475312
138.15	-1459.741026	-1.231426772	0.323209052
138.2	-1459.81084	-1.231426772	-0.140057265
138.25	-1459.8632	-1.250819317	-0.452492682
138.3	-1459.933013	-1.318693222	0.005386923
138.35	-1460.002826	-1.250819311	0.490200701
138.4	-1460.055186	-1.23142675	0.32320954
138.45	-1460.124999	-1.221730428	0.150831182
138.5	-1460.177359	-1.221730428	0.032320627
138.55	-1460.247172	-1.221730478	0.010773173
138.6	-1460.299532	-1.221730494	0.032320657
138.65	-1460.369345	-1.2217305	0.150830901
138.7	-1460.421705	-1.212034222	0.328596142
138.75	-1460.491518	-1.192641661	0.527908617
138.8	-1460.543878	-1.124767706	0.18315209
138.85	-1460.596238	-1.182945339	-0.016160731
138.9	-1460.666051	-1.173249117	0.495586802
138.95	-1460.718411	-1.095678956	0.377077086
139	-1460.770771	-1.095678956	-0.333982543
139.05	-1460.823131	-1.173249117	-0.307048173
139.1	-1460.892944	-1.173249067	0.527908454
139.15	-1460.945304	-1.085982617	0.818796145
139.2	-1460.997664	-1.056893844	0.474039781
139.25	-1461.050023	-1.047197572	0.183152006
139.3	-1461.102383	-1.047197528	0.037707923
139.35	-1461.154743	-1.047197528	0.00538662
139.4	-1461.207103	-1.047197572	-1.98E-07
139.45	-1461.259463	-1.047197572	1.94E-07
139.5	-1461.311823	-1.047197528	1.79E-07
139.55	-1461.364183	-1.047197528	-2.81E-07
139.6	-1461.416543	-1.047197578	-3.64E-07
139.65	-1461.468902	-1.047197589	0.005386821
139.7	-1461.521262	-1.047197578	0.037708108
139.75	-1461.573622	-1.047197528	0.183152173
139.8	-1461.625982	-1.03750125	0.474039963
139.85	-1461.678342	-1.008412467	0.818796324
139.9	-1461.730702	-0.921145983	0.527908185
139.95	-1461.765608	-0.921145989	-0.307048901
140	-1461.817968	-0.998716211	-0.333982923
140.05	-1461.870328	-0.998716211	0.377077466
140.1	-1461.922688	-0.921145989	0.49020071
140.15	-1461.957595	-0.911449711	-0.048481389
140.2	-1462.009955	-0.969627378	0.032320926
140.25	-1462.062314	-0.911449711	0.199312377
140.3	-1462.097221	-0.911449711	-0.193925556
140.35	-1462.149581	-0.969627378	-1.70E-13
140.4	-1462.201941	-0.911449711	0.199312377
140.45	-1462.236847	-0.911449711	-0.16160463
140.5	-1462.289207	-0.969627378	0.145444167
140.55	-1462.341567	-0.901753433	0.49020071
140.6	-1462.376474	-0.882360878	0.177765093
140.65	-1462.428834	-0.882360878	-0.172378275
140.7	-1462.46374	-0.901753433	-0.457879802
140.75	-1462.5161	-0.969627378	0.005386735
140.8	-1462.56846	-0.901753439	0.490200522
140.85	-1462.603366	-0.882360894	0.32320896
140.9	-1462.655726	-0.872664656	0.156217719
140.95	-1462.690633	-0.872664622	0.064641929
141	-1462.742993	-0.872664622	0.156217627
141.05	-1462.777899	-0.862968383	0.323209157
141.1	-1462.830259	-0.8435758	0.49020071
141.15	-1462.865166	-0.775701883	0.00538692
141.2	-1462.900072	-0.843575789	-0.452492802
141.25	-1462.952432	-0.862968344	-0.140057528
141.3	-1462.987339	-0.862968383	0.323209077
141.35	-1463.039699	-0.833879528	0.786475694
141.4	-1463.074605	-0.746613067	0.522521522
141.45	-1463.109512	-0.746613061	-0.307048534
141.5	-1463.144419	-0.824183239	-0.339369512
141.55	-1463.196778	-0.824183239	0.34475633
141.6	-1463.231685	-0.746613061	0.344756259
141.65	-1463.266592	-0.746613067	-0.339369713
141.7	-1463.301498	-0.824183256	-0.307048901
141.75	-1463.353858	-0.824183294	0.527908154
141.8	-1463.388765	-0.736916806	0.818796602
141.85	-1463.423671	-0.707827978	0.474040161
141.9	-1463.458578	-0.6981317	0.183151895
141.95	-1463.493484	-0.6981317	0.037707744
142	-1463.528391	-0.6981317	0.005386821
142.05	-1463.563298	-0.6981317	-4.31E-12
142.1	-1463.598204	-0.6981317	3.59E-12
142.15	-1463.633111	-0.6981317	1.04E-11
142.2	-1463.668017	-0.6981317	7.33E-12
142.25	-1463.702924	-0.6981317	-4.00E-12
142.3	-1463.73783	-0.6981317	-4.94E-12
142.35	-1463.772737	-0.6981317	4.23E-12
142.4	-1463.807644	-0.6981317	4.20E-12
142.45	-1463.84255	-0.6981317	0.005386818
142.5	-1463.877457	-0.6981317	0.037707725
142.55	-1463.912363	-0.6981317	0.183151809
142.6	-1463.94727	-0.688435428	0.474039975
142.65	-1463.982177	-0.659346611	0.813409503
142.7	-1464.017083	-0.572080161	0.49558725
142.75	-1464.034536	-0.572080161	-0.452492685
142.8	-1464.069443	-0.659346611	-0.630257608
142.85	-1464.10435	-0.67873915	1.85E-07
142.9	-1464.139256	-0.659346594	0.635644793
142.95	-1464.174163	-0.572080106	0.490200429
143	-1464.191616	-0.572080144	-0.312435719
143.05	-1464.226523	-0.649650333	-0.333982892
143.1	-1464.261429	-0.649650339	0.377077185
143.15	-1464.296336	-0.572080161	0.490200497
143.2	-1464.313789	-0.562383883	-0.048481179
143.25	-1464.348696	-0.620561506	0.032321188
143.3	-1464.383602	-0.562383833	0.204699083
143.35	-1464.401056	-0.562383872	-0.161604799
143.4	-1464.435962	-0.620561517	0.150830802
143.45	-1464.470869	-0.552687611	0.522521435
143.5	-1464.488322	-0.533295056	0.328596154
143.55	-1464.523229	-0.523598744	0.150830901
143.6	-1464.540682	-0.523598783	0.032320645
143.65	-1464.575589	-0.523598794	0.005386719
143.7	-1464.593042	-0.523598794	1.02E-07
143.75	-1464.627948	-0.523598783	2.81E-07
143.8	-1464.645402	-0.523598744	8.33E-08
143.85	-1464.680308	-0.523598778	0.005386725
143.9	-1464.697762	-0.523598778	0.032321022
143.95	-1464.732668	-0.523598744	0.150830901
144	-1464.750121	-0.513902506	0.328595781
144.05	-1464.785028	-0.494509961	0.522521448
144.1	-1464.802481	-0.426636022	0.150830901
144.15	-1464.819935	-0.484813689	-0.161604648
144.2	-1464.854841	-0.484813689	0.199312373
144.25	-1464.872294	-0.426636022	6.11E-12
144.3	-1464.889748	-0.484813689	-0.193925556
144.35	-1464.924654	-0.484813689	0.199312373
144.4	-1464.942108	-0.426636022	0.037707725
144.45	-1464.959561	-0.484813689	-0.010773747
144.5	-1464.994468	-0.475117417	0.673352352
144.55	-1465.011921	-0.387850933	0.851117247
144.6	-1465.029374	-0.35876215	0.479426765
144.65	-1465.046827	-0.349065872	0.18315209
144.7	-1465.064281	-0.349065828	0.037707941
144.75	-1465.081734	-0.349065828	0.005386623
144.8	-1465.099187	-0.349065872	-1.98E-07
144.85	-1465.116641	-0.349065872	1.98E-07
144.9	-1465.134094	-0.349065828	1.98E-07
144.95	-1465.151547	-0.349065828	-1.98E-07
145	-1465.169	-0.349065872	-1.98E-07
145.05	-1465.186454	-0.349065872	1.98E-07
145.1	-1465.203907	-0.349065828	1.98E-07
145.15	-1465.22136	-0.349065828	0.005386623
145.2	-1465.238814	-0.349065872	0.037707546
145.25	-1465.256267	-0.349065872	0.18315209
145.3	-1465.27372	-0.33936955	0.47404034
145.35	-1465.291174	-0.310280722	0.813409503
145.4	-1465.308627	-0.223014283	0.490200065
145.45	-1465.308627	-0.223014333	-0.484813892
145.5	-1465.32608	-0.310280783	-0.775701599
145.55	-1465.343533	-0.339369556	-0.290887972
145.6	-1465.360987	-0.339369556	0.29627479
145.65	-1465.37844	-0.310280783	0.813409327
145.7	-1465.395893	-0.223014333	0.667965719
145.75	-1465.395893	-0.213318011	-0.010773188
145.8	-1465.413347	-0.271495628	0.037707892
145.85	-1465.4308	-0.213317994	0.204698914
145.9	-1465.4308	-0.213318011	-0.161604981
145.95	-1465.448253	-0.271495694	0.150830623
146	-1465.465706	-0.203621789	0.522521617
146.05	-1465.465706	-0.184229194	0.323209537
146.1	-1465.48316	-0.174532906	0.118510244
146.15	-1465.48316	-0.1745329	-0.113123176
146.2	-1465.500613	-0.184229178	-0.285501599
146.25	-1465.500613	-0.203621739	-0.339369991
146.3	-1465.518066	-0.261799422	0.323208793
146.35	-1465.53552	-0.174532972	0.980401139
146.4	-1465.53552	-0.087266472	0.328596358
146.45	-1465.53552	-0.145444089	-0.307048349
146.5	-1465.552973	-0.164836628	-0.14005716
146.55	-1465.552973	-0.164836628	0.18315183
146.6	-1465.570426	-0.145444083	0.49558725
146.65	-1465.570426	-0.077570178	0.188538627
146.7	-1465.570426	-0.135747811	0.059254997
146.75	-1465.587879	-0.126051539	0.861890864
146.8	-1465.587879	-0.029088817	1.325157204
146.85	-1465.587879	0.029088817	1.298223114
146.9	-1465.587879	0.126051539	0.711059963
146.95	-1465.570426	0.126051539	-0.269340895
147	-1465.570426	0.048481361	-0.33398271
147.05	-1465.570426	0.048481361	0.344756346
147.1	-1465.570426	0.126051539	0.344756346
147.15	-1465.552973	0.126051539	-0.344756346
147.2	-1465.552973	0.048481361	-0.344756346
147.25	-1465.552973	0.048481361	0.339369528
147.3	-1465.552973	0.126051539	0.30704862
147.35	-1465.53552	0.126051539	-0.527908154
147.4	-1465.53552	0.038785089	-0.8134095
147.45	-1465.53552	0.009696272	-0.436332228
147.5	-1465.53552	0	1.05E-07
147.55	-1465.53552	0.009696278	0.436332522
147.6	-1465.53552	0.038785111	0.808023151
147.65	-1465.53552	0.126051611	0.49020071
147.7	-1465.518066	0.126051611	-0.49020071
147.75	-1465.518066	0.038785111	-0.813409969
147.8	-1465.518066	0.009696278	-0.474040247
147.85	-1465.518066	0	-0.183151914
147.9	-1465.518066	0	-0.037707747
147.95	-1465.518066	0	-0.005386821
148	-1465.518066	0	0
148.05	-1465.518066	0	0
148.1	-1465.518066	0	0
148.15	-1465.518066	0	0
148.2	-1465.518066	0	0
148.25	-1465.518066	0	0
148.3	-1465.518066	0	0
148.35	-1465.518066	0	0
148.4	-1465.518066	0	0
148.45	-1465.518066	0	0
148.5	-1465.518066	0	0
148.55	-1465.518066	0	0
148.6	-1465.518066	0	0
148.65	-1465.518066	0	0
148.7	-1465.518066	0	0
148.75	-1465.518066	0	0
148.8	-1465.518066	0	0
148.85	-1465.518066	0	0
148.9	-1465.518066	0	0
148.95	-1465.518066	0	0
149	-1465.518066	0	0
149.05	-1465.518066	0	0
149.1	-1465.518066	0	0
149.15	-1465.518066	0	0
149.2	-1465.518066	0	0
149.25	-1465.518066	0	0
149.3	-1465.518066	0	0
149.35	-1465.518066	0	0
149.4	-1465.518066	0	0
149.45	-1465.518066	0	0
149.5	-1465.518066	0	0
149.55	-1465.518066	0	0
149.6	-1465.518066	0	0
149.65	-1465.518066	0	0
149.7	-1465.518066	0	0
149.75	-1465.518066	0	0
149.8	-1465.518066	0	0
149.85	-1465.518066	0	0
149.9	-1465.518066	0	0
149.95	-1465.518066	0	0
150	-1465.518066	0	0
150.05	-1465.518066	0	0
150.1	-1465.518066	0	0
150.15	-1465.518066	0	0
150.2	-1465.518066	0	0
150.25	-1465.518066	0	0
150.3	-1465.518066	0	0
150.35	-1465.518066	0	0
150.4	-1465.518066	0	0
150.45	-1465.518066	0	0
150.5	-1465.518066	0	0
150.55	-1465.518066	0	0
150.6	-1465.518066	0	0
150.65	-1465.518066	0	0
150.7	-1465.518066	0	0
150.75	-1465.518066	0	0
150.8	-1465.518066	0	0
150.85	-1465.518066	0	0
150.9	-1465.518066	0	0
150.95	-1465.518066	0	0
151	-1465.518066	0	0
151.05	-1465.518066	0	0
151.1	-1465.518066	0	0
151.15	-1465.518066	0	0
151.2	-1465.518066	0	0
151.25	-1465.518066	0	0
151.3	-1465.518066	0	0
151.35	-1465.518066	0	0
151.4	-1465.518066	0	0
151.45	-1465.518066	0	0
151.5	-1465.518066	0	0
151.55	-1465.518066	0	0
151.6	-1465.518066	0	0
151.65	-1465.518066	0	0
151.7	-1465.518066	0	0
151.75	-1465.518066	0	0
151.8	-1465.518066	0	0
151.85	-1465.518066	0	0
151.9	-1465.518066	0	0
151.95	-1465.518066	0	0
152	-1465.518066	0	0
152.05	-1465.518066	0	0
152.1	-1465.518066	0	0
152.15	-1465.518066	0	0
152.2	-1465.518066	0	0
152.25	-1465.518066	0	0
152.3	-1465.518066	0	0
152.35	-1465.518066	0	0
152.4	-1465.518066	0	0
152.45	-1465.518066	0	0
152.5	-1465.518066	0	0
152.55	-1465.518066	0	0
152.6	-1465.518066	0	0
152.65	-1465.518066	0	0
152.7	-1465.518066	0	0
152.75	-1465.518066	0	0
152.8	-1465.518066	0	0
152.85	-1465.518066	0	0
152.9	-1465.518066	0	0
152.95	-1465.518066	0	0
153	-1465.518066	0	0
153.05	-1465.518066	0	0
153.1	-1465.518066	0	0
153.15	-1465.518066	0	0
153.2	-1465.518066	0	0
153.25	-1465.518066	0	0
153.3	-1465.518066	0	0
153.35	-1465.518066	0	0
153.4	-1465.518066	0	0
153.45	-1465.518066	0	0
153.5	-1465.518066	0	0
153.55	-1465.518066	0	0
153.6	-1465.518066	0	0
153.65	-1465.518066	0	0
153.7	-1465.518066	0	0
153.75	-1465.518066	0	0
153.8	-1465.518066	0	0
153.85	-1465.518066	0	0
153.9	-1465.518066	0	0
153.95	-1465.518066	0	0
154	-1465.518066	0	0
154.05	-1465.518066	0	0
154.1	-1465.518066	0	0
154.15	-1465.518066	0	0
154.2	-1465.518066	0	0
154.25	-1465.518066	0	0
154.3	-1465.518066	0	0
154.35	-1465.518066	0	0
154.4	-1465.518066	0	0
154.45	-1465.518066	0	0
154.5	-1465.518066	0	0
154.55	-1465.518066	0	0
154.6	-1465.518066	0	0
154.65	-1465.518066	0	0
154.7	-1465.518066	0	0
154.75	-1465.518066	0	0
154.8	-1465.518066	0	0
154.85	-1465.518066	0	0
154.9	-1465.518066	0	0
154.95	-1465.518066	0	0
155	-1465.518066	0	0
155.05	-1465.518066	0	0
155.1	-1465.518066	0	0
155.15	-1465.518066	0	0
155.2	-1465.518066	0	0
155.25	-1465.518066	0	0
155.3	-1465.518066	0	0
155.35	-1465.518066	0	0
155.4	-1465.518066	0	0
155.45	-1465.518066	0	0
155.5	-1465.518066	0	0
155.55	-1465.518066	0	0
155.6	-1465.518066	0	0
155.65	-1465.518066	0	0
155.7	-1465.518066	0	0
155.75	-1465.518066	0	0
155.8	-1465.518066	0	0
155.85	-1465.518066	0	0
155.9	-1465.518066	0	0
155.95	-1465.518066	0	0
156	-1465.518066	0	0
156.05	-1465.518066	0	0
156.1	-1465.518066	0	0
156.15	-1465.518066	0	0
156.2	-1465.518066	0	0
156.25	-1465.518066	0	0
156.3	-1465.518066	0	0
156.35	-1465.518066	0	0
156.4	-1465.518066	0	0
156.45	-1465.518066	0	0
156.5	-1465.518066	0	0
156.55	-1465.518066	0	0
156.6	-1465.518066	0	0
156.65	-1465.518066	0	0
156.7	-1465.518066	0	0
156.75	-1465.518066	0	0
156.8	-1465.518066	0	0
156.85	-1465.518066	0	0
156.9	-1465.518066	0	0
156.95	-1465.518066	0	0
157	-1465.518066	0	0
157.05	-1465.518066	0	0
157.1	-1465.518066	0	0
157.15	-1465.518066	0	0
157.2	-1465.518066	0	0
157.25	-1465.518066	0	0
157.3	-1465.518066	0	0
157.35	-1465.518066	0	0
157.4	-1465.518066	0	0
157.45	-1465.518066	0	0
157.5	-1465.518066	0	0
157.55	-1465.518066	0	0
157.6	-1465.518066	0	0
157.65	-1465.518066	0	0
157.7	-1465.518066	0	0
157.75	-1465.518066	0	0
157.8	-1465.518066	0	0
157.85	-1465.518066	0	0
157.9	-1465.518066	0	0
157.95	-1465.518066	0	0
158	-1465.518066	0	0
158.05	-1465.518066	0	0
158.1	-1465.518066	0	0
158.15	-1465.518066	0	0
158.2	-1465.518066	0	0
158.25	-1465.518066	0	0
158.3	-1465.518066	0	0
158.35	-1465.518066	0	0
158.4	-1465.518066	0	0
158.45	-1465.518066	0	0
158.5	-1465.518066	0	0
158.55	-1465.518066	0	0
158.6	-1465.518066	0	0
158.65	-1465.518066	0	0
158.7	-1465.518066	0	0
158.75	-1465.518066	0	0
158.8	-1465.518066	0	0
158.85	-1465.518066	0	0
158.9	-1465.518066	0	0
158.95	-1465.518066	0	0
159	-1465.518066	0	0
159.05	-1465.518066	0	0
159.1	-1465.518066	0	0
159.15	-1465.518066	0	0
159.2	-1465.518066	0	0
159.25	-1465.518066	0	0
159.3	-1465.518066	0	0
159.35	-1465.518066	0	0
159.4	-1465.518066	0	0
159.45	-1465.518066	0	0
159.5	-1465.518066	0	0
159.55	-1465.518066	0	0
159.6	-1465.518066	0	0
159.65	-1465.518066	0	0
159.7	-1465.518066	0	0
159.75	-1465.518066	0	0
159.8	-1465.518066	0	0
159.85	-1465.518066	0	0
159.9	-1465.518066	0	0
159.95	-1465.518066	0	0
160	-1465.518066	0	0
160.05	-1465.518066	0	0
160.1	-1465.518066	0	0
160.15	-1465.518066	0	0
160.2	-1465.518066	0	0
160.25	-1465.518066	0	0
160.3	-1465.518066	0	0
160.35	-1465.518066	0	0
160.4	-1465.518066	0	0
160.45	-1465.518066	0	0
160.5	-1465.518066	0	0
160.55	-1465.518066	0	0
160.6	-1465.518066	0	0
160.65	-1465.518066	0	0
160.7	-1465.518066	0	0
160.75	-1465.518066	0	0
160.8	-1465.518066	0	0
160.85	-1465.518066	0	0
160.9	-1465.518066	0	0
160.95	-1465.518066	0	0
161	-1465.518066	0	0
161.05	-1465.518066	0	0
161.1	-1465.518066	0	0
161.15	-1465.518066	0	0
